business_name,category,website,google_rating,review_count,phone,address
"Worldstar Enterprises, Trivandrum jobs",Unemployment office,/url?q=http://www.fb.me/jobworldstar.tvm&opi=79508299&sa=U&ved=0ahUKEwiKwbjyjr2UAxUnWGwGHaNGOLoQ61gIFygS&usg=AOvVaw1ScIFjyQBxHsygw1A1OF6f,4.4,,090206 09290,"SS Kovil Rd, opp. Chemist Bhavan, near Ayyappan Kovil, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
"Career Home | Placement Service, Facility Management and Job consultancy",Employment consultant,/url?q=http://careerhometvm.com/&opi=79508299&sa=U&ved=0ahUKEwii98jzjr2UAxUuV3ADHYCyBUsQ61gIFygS&usg=AOvVaw1uzhOP2HS6__cBq-LSYVOM,4.7,,095440 97966,"RS Complex, opp. LIC LIC Junction, Pattom, Thiruvananthapuram, Kerala 695004"
RCD HR SOLUTIONS,Employment consultant,,4.8,,099469 41122,"Akkulam, Ulloor - Akkulam Rd, Thiruvananthapuram, Kerala 695011"
Career world jobs,Employment agency,,4.2,,070123 88928,"Scp buildings East, Thampanoor, Thiruvananthapuram, Kerala 695001"
Suhail Enterprises,Unemployment office,/url?q=http://www.suhailmanpower.com/&opi=79508299&sa=U&ved=0ahUKEwjuvOP2jr2UAxUBa2wGHb6mJqUQ61gIEygO&usg=AOvVaw0XBonNb7N9EclV9kCbZduV,4.5,,0471 257 1970,"Attakulangara, Thiruvananthapuram, Kerala 695009"
Connecting2Work - HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwj9ru33jr2UAxVETWwGHTVmJU8Q61gIEygO&usg=AOvVaw2PSQDeVb9Lpol0EKJhi6XO,4.8,,0471 401 1026,"(Corp HQ) Opp Kalady Junction Bus Stop ,Karamana, Thiruvananthapuram, Kerala 695002"
Connecting2Work HR Solutions,Human resource consulting,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwijnfj4jr2UAxWmRmwGHebnKPYQ61gIFygS&usg=AOvVaw2V02ClPD_lU9hgPzlnOHrQ,4.7,,0471 401 1026,"TC 2/1398 (5) Thulasi Towers, near Techno Park, Pallinada, Kazhakkoottam, Kerala 695582"
JOBS 'n TA HR Services,Employment agency,/url?q=http://www.jobsnta.com/&opi=79508299&sa=U&ved=0ahUKEwj0qIT6jr2UAxVERmcHHTTmNGYQ61gIFygS&usg=AOvVaw20rWRR6l9K1rOO8SEBYDI4,3.6,,077360 65911,"Roshni, TC 4/250-1, Gnra-12, Opp SNDP Office, PO, Kuravankonam Ambalamukku Rd, Kowdiar, Thiruvananthapuram, Kerala 695003"
Chinmaya Jobs & Travel services,Travel agency,,4.9,,088913 27540,"TC 16/1657,CRYOGENICS, JUNCTION, opposite MUTHOOT FINCORP, DPI, Jagathy, Thiruvananthapuram, Kerala 695014"
Deepam Employment Service,Employment agency,,4.0,,094006 00164,"2nd Floor, Rajadani Building, Fort, East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Space International Travel Service Manpower Consultant,Recruiter,/url?q=http://spaceinternational.co/&opi=79508299&sa=U&ved=0ahUKEwiD1OOIj72UAxU4S2cHHVOUAAQQ61gIFygS&usg=AOvVaw16w8QO8VFtDOtVM6tg17CY,3.6,,098471 46622,"T.C 28/2797, First Floor, Chettikulangara Temple Jn, Vanchiyoor, Thiruvananthapuram, Kerala 695035"
Friends Home Nurse Consultancy,Unemployment office,,4.7,,094460 66333,"opp. Narmada Shopping Complex, Toll Junction, Kowdiar, Thiruvananthapuram, Kerala 695003"
New Belief Overseas Recruitment services Pvt.Ltd,Recruiter,/url?q=https://newbelief.co.in/&opi=79508299&sa=U&ved=0ahUKEwjo2PqKj72UAxXFXGcHHXtNKCsQ61gIFygS&usg=AOvVaw3SyY7txroWztPM1454VSR3,4.3,,073066 86936,"First Floor, Mikasa Square, TC – 6/741, near Sreedevi Lab And Scans, Ulloor, Kochulloor, Ulloor, Thiruvananthapuram, Kerala 695011"
Jobcaps HR Consultancy,Human resource consulting,/url?q=https://www.jobcapsindia.com/&opi=79508299&sa=U&ved=0ahUKEwi194OMj72UAxUwZWwGHZh1CYIQ61gIFygS&usg=AOvVaw3WGHIupI3gqhHdVPC4M4wd,4.5,,0471 409 9914,"Valsala Nursing home Road, Paris Rd, Nandavanam, Palayam, Thiruvananthapuram, Kerala 695033"
Dial A Job,Employment consultant,,3.3,,096050 12124,"4th floor, Statue, Opposite Secretariat, Palayam, Thiruvananthapuram, Kerala 695001"
Sujina Manpower Consultants,Recruiter,,2.8,,0471 247 2240,"Nallumuku, Pallimukku, Pettah, Thiruvananthapuram, Kerala 695024"
Scintila Recruiter,Unemployment office,,4.7,,0471 232 4748,"Kenton Tower, 5A, Vellayambalam - Vazhuthacaud Road, near Kalabhavan Theatre, DPI, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Lakshya job consultancy,Employment center,,3.4,,,"GX25+5HX, MP Appan Rd, DPI, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
B R JOBS CONSULTANCY AND PRIVATE SECURITY SERVICES,Human resource consulting,,5.0,,0471 485 3026,"NO 20, Doctors Garden Ln, P T Chacko Nagar, Ulloor, Thiruvananthapuram, Kerala 695011"
Smart Job consultancy,Employment agency,,3.8,,070250 06049,"Kesava Buildings, SS Kovil Rd, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
Quick Job Consultancy,Employment agency,,4.0,,0471 401 1136,"FXR2+6H8, SS Kovil Rd, Santhi Nagar, Thampanoor, Thiruvananthapuram, Kerala 695001"
Universal Migration,Educational consultant,/url?q=http://www.universalmigration.com/&opi=79508299&sa=U&ved=0ahUKEwiZ2anEj72UAxXGaHADHVKuHj4Q61gIFygS&usg=AOvVaw1EtkTiGigyYvBGHaqVg9xy,4.6,,099467 91000,"Ground Floor, Primrose building, Bakery Jct Rd, Oottukuzhy, Thycaud, Thiruvananthapuram, Kerala 695001"
Guideline job consultancy,Employment center,,4.0,,073566 17634,"2nd floor sreekrish arcade, Maruthumkuzhi, Thiruvananthapuram, Kerala 695030"
C2W,Employment agency,/url?q=http://www.connecting2work.com/&opi=79508299&sa=U&ved=0ahUKEwiamebGj72UAxX6WHADHRoFIB0Q61gIFSgQ&usg=AOvVaw0SNBj_Y3l1nZn-kO-M7u7v,3.7,,077360 43614,"C2W, Nh, Kazhakootam - Kovalam Bypass Rd, near Technopark Phase III Main Road, Thiruvananthapuram, Kerala 695583"
Standard Agencies Hardware,Hardware store,,4.9,,063667 78484,"SIJIS TRADE PLAZA, Marakkada Rd, Chalai Bazaar, Chalai, Thiruvananthapuram, Kerala 695036"
Amina Agencies,Manufacturer,,4.5,,099955 54164,"East Fort, Chalai Bazaar, Chalai, Thiruvananthapuram, Kerala 695036"
Riya - The Travel Expert | Thiruvananthapuram,Travel agency,/url?q=https://www.riya.travel/&opi=79508299&sa=U&ved=0ahUKEwjs_NvLj72UAxVXaHADHS3eAhMQ61gIFSgQ&usg=AOvVaw2ml4T-vM-B8bUOlWW6nkt8,4.1,,0471 408 5000,"Taarra Towers, Althara Nagar, Sasthamangalam, Thiruvananthapuram, Kerala 695010"
Metro Agencies,Roofing supply store,,4.2,,095260 87772,"Manava Nagar, Eanchakkal, Thiruvananthapuram, Kerala 695008"
Attitude Worldwide,Unemployment office,/url?q=http://attitudeworldwide.com/&opi=79508299&sa=U&ved=0ahUKEwidmqDxj72UAxXia2wGHWaxIAwQ61gIFygS&usg=AOvVaw1QGi3KW3vwMXAtU1WmGCs2,4.3,,081388 88070,"TC20/1230/1 Karamana, Parachira Road, Melarannoor, Junction, Thiruvananthapuram, Kerala 695002"
