business_name,category,website,google_rating,review_count,phone,address
Dr Anugra Baburaj Cosmetologist | Skin Care Clinic Trivandrum,Skin care clinic,/url?q=https://www.agelessbydranugra.com/&opi=79508299&sa=U&ved=0ahUKEwid_tzN3LyUAxXyd2wGHekgB9QQ61gIFygS&usg=AOvVaw2pLG7YOLZcKxnQTDHjPXQP,4.9,,095674 97556,"Kurishadi Junction, 9/3117/2, Kariyavattom - Chenkottukonam Rd, KK Nagar, Karyavattom, Thiruvananthapuram, Kerala 695581"
Alpha Heal MG Road Trivandrum,Hair transplantation clinic,/url?q=http://alphaheal.in/&opi=79508299&sa=U&ved=0ahUKEwjTwonQ3LyUAxVqTGwGHWF3D5QQ61gIFygS&usg=AOvVaw3wQaDrMy8WiC3EeTQNLD7a,4.8,,075580 56789,"1st Floor, Chungath Jewellery Building, Mahatma Gandhi Rd, Ayurveda College Junction, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Dr. Yogiraj Centre for Dermatology & Cosmetology Hair transplantation,Skin care clinic,/url?q=http://www.ycdc.in/&opi=79508299&sa=U&ved=0ahUKEwiBw5HR3LyUAxXDUGcHHcQKAiQQ61gIFygS&usg=AOvVaw1jceWarcXB3q7OAh3p2fRh,4.4,,0471 424 8545,"Kumarapuram Rd, opp. Vydyuthi Bhavan, Pattom, Thiruvananthapuram, Kerala 695004"
Dr.Nathanis Diagnostic Clinic,Diagnostic center,,4.4,,087149 10122,"TC 17/3530- 1, Chalakuzhy Rd, Pattom, Thiruvananthapuram, Kerala 695004"
Dr Sai Ganesh Medical Centre - Trivandrum,Hospital,/url?q=https://www.saiganeshclinic.com/&opi=79508299&sa=U&ved=0ahUKEwitofbT3LyUAxW7RmwGHaTVArEQ61gIFygS&usg=AOvVaw1DyZMh3vHXiBiG_d960LP2,4.8,,085908 99989,"Ground Floor, SP Elysium, Devaswom Board Jct, Jn, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Kerala 695003"
"Therefore I'm Trivandrum - Best Skin, Body & Hair Clinic in Trivandrum",Skin care clinic,/url?q=https://thereforeim.in/&opi=79508299&sa=U&ved=0ahUKEwj0uIzZ3LyUAxXTXmwGHTgjFbAQ61gIFygS&usg=AOvVaw3al0hXTNP2hHnhrWlANDbg,4.9,,090723 44011,"Ground Floor, UNISPACE, Pattom - Kowdiar Rd, Kuravankonam, Thiruvananthapuram, Kerala 695003"
UpHeal.Clinic,Medical Center,/url?q=https://www.upheal.health/&opi=79508299&sa=U&ved=0ahUKEwjrma_e3LyUAxUZe2wGHSrMDHEQ61gIFSgQ&usg=AOvVaw1e3lBWzxj_0RT-VDz6CgRX,4.8,,095676 73037,"6, vazhayila Road, NV Nagar, Peroorkada, Thiruvananthapuram, Kerala 695005"
VSSC Poly Clinic,Medical clinic,/url?q=http://vssc.gov.in/&opi=79508299&sa=U&ved=0ahUKEwjU66nW3LyUAxXTSWwGHdwkIHwQ61gIFSgQ&usg=AOvVaw1WPaYKIC5UTCJ9iS8ki7Uq,4.5,,0471 253 7676,"126, TKD Rd, Marappalam, Thiruvananthapuram, Kerala 695004"
SP Medifort Hospital,Hospital,/url?q=https://spmediforthospital.com/&opi=79508299&sa=U&ved=0ahUKEwiAo87q3LyUAxU6RWcHHdS4BnUQ61gIEygO&usg=AOvVaw12mIyl5ufDbXHS-ZyttzbY,4.8,,0471 310 0100,"Eanchakkal, Thiruvananthapuram, Kerala 695008"
Clinic,Medical clinic,,4.0,,,"GW9J+6MG, Medical College Murinjapalam Rd, Murinjapalam, Thiruvananthapuram, Kerala 695011"
