business_name,category,website,google_rating,review_count,phone,address
Travancore Titanium Products Limited,Chemical Manufacturer,/url?q=https://travancoretitanium.com/&opi=79508299&sa=U&ved=0ahUKEwjph_e8iL2UAxUVV2wGHcpwL8gQ61gIFCgP&usg=AOvVaw0YJSNniBUS3A0G_nNrVsYk,4.3,,1800 233 7315,"GW32+2F8, Balanagar, Karikkakam, Thiruvananthapuram, Kerala 695021"
MAHASREEVARI FOOD INDUSTRIES PRIVATE LIMITED,Food manufacturer,/url?q=https://www.madhuramindia.com/&opi=79508299&sa=U&ved=0ahUKEwiynoS-iL2UAxUgaHADHckoMgUQ61gIFygS&usg=AOvVaw3AYta8dRLgYw377s24LGci,5.0,,094477 24525,"Titanium, Plot no :42 INDUSTRIAL DEVELOPMENT AREA, P.O, Kochuveli, Thiruvananthapuram, Kerala 695021"
Dr. FOOD NUTRI INDUSTRIES,Food Processing Company,/url?q=http://www.drfoodnutri.com/&opi=79508299&sa=U&ved=0ahUKEwiVtJO_iL2UAxUXSmwGHXiKKCAQ61gIEygO&usg=AOvVaw0G3ilwfnNzW5ilo0HnqELY,4.9,,070344 85000,"Kochuveli Industrial Area, Veli, Thiruvananthapuram, Kerala 695021"
The India Cements Ltd,Cement Manufacturer,/url?q=https://www.indiacements.co.in/&opi=79508299&sa=U&ved=0ahUKEwiVg6PAiL2UAxVnXWwGHY_VD0UQ61gIFCgP&usg=AOvVaw3yUWO49sWiy1nCFUNsnhgu,5.0,,0471 405 8800,"GW8X+77Q, Plammoodu, Thiruvananthapuram, Kerala 695003"
Fresh N Fine Products (India) Pvt. Ltd,Manufacturer,/url?q=http://www.freshnfine.com/&opi=79508299&sa=U&ved=0ahUKEwiS6rLBiL2UAxWoR2cHHQ-INoYQ61gIFSgQ&usg=AOvVaw2dQjL12UzAEjFbpKHIPuhM,4.4,,092880 21144,"Kinfra Parks, Thumba, Thiruvananthapuram, Kerala 695586"
Madhuram Food Products,Food manufacturing supply,,4.0,,0471 250 1739,"Kochuveli Industrial Area, Veli, Thiruvananthapuram, Kerala 695021"
BRUNCHIES,Food manufacturer,/url?q=http://www.brunchies.in/&opi=79508299&sa=U&ved=0ahUKEwiH-ffFiL2UAxXrbGwGHStBFyMQ61gIEygO&usg=AOvVaw3LCC1LJ08MQCsIZVB0KadF,4.7,,0471 210 2210,"AIYAPPANKUZHY RD, KALLAYAM, Thiruvananthapuram, Kerala 695043"
INNOVA INDUSTRIES - THE LUXURY FURNISHING FACTORY.,Furniture Manufacturer,/url?q=http://www.dluxe.in/&opi=79508299&sa=U&ved=0ahUKEwis2ITHiL2UAxVkRmcHHULkD2MQ61gIFygS&usg=AOvVaw1eH5BI510WGwIRkt0dV0AF,4.8,,075590 66655,"Plot # 6, Industrial Development Area Industrial Development Area, 6, Kochuveli Industrial Area, Veli, Thiruvananthapuram, Kerala 695021"
Trivandrum Flour Mills Pvt. Ltd.,Food Processing Company,,4.0,,099619 93839,"Kalpana Colony Menamkulam, CHITTATTUMUKKU, P O, Kazhakkoottam, Kerala 695582"
Milky Food Industries,Manufacturer,/url?q=http://www.mercelys.com/&opi=79508299&sa=U&ved=0ahUKEwjjz6bWiL2UAxXcWHADHdUfKDwQ61gIECgL&usg=AOvVaw3n0bc1fNUBql-QAa7zHagL,5.0,,,"HV36+R2C, Pallithura, Thiruvananthapuram, Menamkulam, Kerala 695586"
Avittom Food Industries,Manufacturer,,5.0,,093494 31748,"Thachakudi lane, amabalathumukku amabalathumukku, Vanchiyoor, Thiruvananthapuram, Kerala 695035"
Nilamels and Kaimals Foods Private Limited,Frozen food manufacturer,/url?q=https://www.nilamel.com/&opi=79508299&sa=U&ved=0ahUKEwje3sDYiL2UAxVzd2wGHYtBJUAQ61gIFSgQ&usg=AOvVaw3n2JGVRlmn_c1DHvYjiBHk,3.8,,070122 33534,"Plot No: A29(a), Kinfra International Apparel Park St. Xavier's College P. O Menamkulam, Thumba, Thiruvananthapuram, Kerala 695586"
THE TRAVANCORE RUBBER AND TEA COMPANY LIMITED,Manufacturer,,4.1,,0471 230 6032,"Palace P.O, VBGRA 10, Veerabhadra Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
Zamzam Industries,Manufacturer,,4.0,,077363 50393,"Shankaran para lane, Mudavanmugal, Kesari Nagar, Poojapura, Thiruvananthapuram, Kerala 695012"
Fashion Factory,Clothing store,/url?q=https://location.reliancefashionfactorystores.com/fashion-factory-ff-trivendrum-heena-clothing-stores-kowdiar-thiruvananthapuram-286945/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwi78YHhiL2UAxX9WHADHbeEGiYQ61gIFygS&usg=AOvVaw0YTfyS60rXY5F0RiMYtnbN,4.0,,1800 891 0001,"Heera Highlife Mall, Keston Rd, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003"
Kortas Industries Private Limited,Aerospace company,/url?q=http://kortasind.com/&opi=79508299&sa=U&ved=0ahUKEwiPlo7iiL2UAxVqR2wGHepZNN4Q61gIFSgQ&usg=AOvVaw0lbPkD5N4f3rPPDzE26ioT,4.7,,0471 250 0459,"80-B ,I.D.A, Veli, Thiruvananthapuram, Kerala 695021"
HLL Lifecare Ltd.,Pharmaceutical company,/url?q=http://www.lifecarehll.com/&opi=79508299&sa=U&ved=0ahUKEwjvpZ7jiL2UAxUoSGwGHXEVHYEQ61gIFSgQ&usg=AOvVaw2J0gnmoBUKMJztuR3hQ-ik,4.4,,0471 235 4949,"Sasthamangalam - Peroorkada Rd, Peroorkada, Thiruvananthapuram, Kerala 695005"
Moderns Food Products,Food Processing Company,/url?q=http://www.modernsfoodproducts.com/&opi=79508299&sa=U&ved=0ahUKEwj5kNn_iL2UAxWTV3ADHUyVLXQQ61gIFSgQ&usg=AOvVaw210P8QuGLWCLlI2crhTSY4,4.1,,093878 15391,"No.26, Industrial Development Plot, Manvila, Thiruvananthapuram, Kerala 695583"
Syndicate Gym Industries | Gym Equipment Manufacturer Kerala,Manufacturer,/url?q=http://www.syndicategym.com/&opi=79508299&sa=U&ved=0ahUKEwj5466Bib2UAxWtSGcHHUGSJScQ61gIFSgQ&usg=AOvVaw1-eayhqEbAm49B7e-zqwRe,2.5,,093169 70498,"chithra nagar, idapazhani, Poojapura, Thiruvananthapuram, Kerala 695012"
"Elements Homestead Products Pvt Ltd,Trivandrum",Food manufacturer,/url?q=http://www.elementsindia.net/&opi=79508299&sa=U&ved=0ahUKEwjNquCeib2UAxWTTWcHHbTLEMQQ61gIFSgQ&usg=AOvVaw1k_czemqLNQFI2-tcgIrSW,5.0,,070340 75500,"Kariyam Market Road Powdikonam P.O,Trivandrum, Kariyam, Kerala 695017"
Coconics Private Limited,Computer Hardware Company,,3.4,,,"A St, Manvila Industrial Estate, Manvila, Thiruvananthapuram, Kerala 695583"
BrahMos Aerospace Thiruvananthapuram Limited,Aerospace company,/url?q=https://batl.co.in/&opi=79508299&sa=U&ved=0ahUKEwj-2susib2UAxUHSmwGHdIJDgIQ61gIFigR&usg=AOvVaw0AeMJnYsEYrbLn6DFazg9G,4.4,,0471 250 1325,"FWV6+7P8 Chackai Beach, Airport Road, PO, Thiruvananthapuram, Kerala 695007"
Bread Factory by Azad at Vazhuthacaud,Bakery and Cake Shop,/url?q=http://www.breadfactory.in/contactus/&opi=79508299&sa=U&ved=0ahUKEwj2z9qtib2UAxXebGwGHa33HB0Q61gIGygQ&usg=AOvVaw2y-EenRidL1O0w6jMi3KBB,4.3,,097459 97450,"Eshwara Vilasam Rd, Cotton Hill, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Bread Factory by Azad at Kowdiar,Bakery and Cake Shop,/url?q=http://www.breadfactory.in/&opi=79508299&sa=U&ved=0ahUKEwi12Oquib2UAxXpRmwGHVnTIqkQ61gIGygQ&usg=AOvVaw19CjehVAXBQtMMmuNN0fZn,4.4,,097459 97451,"Bread Factory, Kowdiar, Thiruvananthapuram, Kerala 695003"
BANATONE TRINITY INDUSTRIES,Food Processing Company,/url?q=https://www.banatonetrinity.in/&opi=79508299&sa=U&ved=0ahUKEwjui4Cwib2UAxXpWHADHbZ0CogQ61gIEygO&usg=AOvVaw0EzPqppN9BZ3yhj_f5toUP,3.7,,081297 65874,"Pallithura, Thiruvananthapuram, Menamkulam, Kerala 695586"
Green Factory,Corporate office,/url?q=https://www.greenfactoryindia.com/&opi=79508299&sa=U&ved=0ahUKEwi4pumGib2UAxUvSmwGHaSzFjoQ61gI_wEoDQ&usg=AOvVaw3K_-Q2IF6pSdYhEVZeAxZM,4.9,,,"83/1453, opp. Govt. Fort Hopital, Nalumukku, Fort P.O, Thiruvananthapuram, Kerala 695023"
Hykon India Limited,Electronics manufacturer,/url?q=http://www.hykonindia.com/&opi=79508299&sa=U&ved=0ahUKEwjfisW3ib2UAxURTGwGHYyJPCYQ61gIFSgQ&usg=AOvVaw0XMDbftOZ5dMlPG0EWNerS,3.2,,090201 21121,"TC-2/1420/2,3 Vaidhyuthi Bhavan Road, Vrindavan Gardens, Pattom, Thiruvananthapuram, Kerala 695004"
Bread Factory by Azad at Nalanchira,Bakery and Cake Shop,/url?q=https://www.breadfactory.in/&opi=79508299&sa=U&ved=0ahUKEwiu0de4ib2UAxU-U2wGHdA7CR4Q61gIHSgS&usg=AOvVaw3C20-EHsFRzy5ARbfC94lR,4.4,,097459 97456,"Bethany building, Kurishadi Junction, Nalanchira, Paruthippara, Thiruvananthapuram, Kerala 695015"
English Indian Clays Limited,Manufacturer,/url?q=http://www.eicl.in/&opi=79508299&sa=U&ved=0ahUKEwjys5Dhib2UAxXSxTgGHaTMETUQ61gIFigR&usg=AOvVaw2iYSZjOZFl4fkCTqJ0X1_b,3.8,,0471 409 5111,"GV7V+GG8, Veli - Venpalavattom Rd, Near Kochuveli Railway Station, Veli, Thiruvananthapuram, Kerala 695021"
MGL Elevators Pvt.Ltd,Elevator Manufacturer,/url?q=https://mglelevators.com/&opi=79508299&sa=U&ved=0ahUKEwjKxt_qib2UAxUb4jgGHezfFIgQ61gIFygS&usg=AOvVaw36JcsxkTw1WRodRP88CF7q,4.9,,098462 55442,"PANICKERS C, LANE 13, behind Nikunjam Harmony, FLAT, Vellayambalam, Thiruvananthapuram, Kerala 695010"
Bread factory by Azad at Kumarapuram,Bakery and Cake Shop,/url?q=http://www.breadfactory.in/&opi=79508299&sa=U&ved=0ahUKEwjW2Y7tib2UAxX8cmwGHfIoIOsQ61gIGCgO&usg=AOvVaw0bmeRGUESxw7y6nhPe3soB,4.4,,,"Feroz Building, Medical College Kumarapuram Rd, Krishna Vihar, Kumarapuram, Thiruvananthapuram, Kerala 695011"
"Sree Krishna Oil Mills, Ulloor",Mill,,4.5,,0471 244 8614,"Ulloor - Akkulam Rd, PSC Nagar, Ulloor, Thiruvananthapuram, Kerala 695011"
SKP FURNITURE FACTORY OUTLET,Furniture Manufacturer,,4.2,,080863 60508,"Madhavam, Kesavadasapuram-Ulloor Rd, near Ulloor Bridge, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Spice Garden Foods (OPC) Pvt Ltd,Food seasoning manufacturer,/url?q=https://spiceberries.in/&opi=79508299&sa=U&ved=0ahUKEwi4pumGib2UAxUvSmwGHaSzFjoQ61gIuwYoEQ&usg=AOvVaw04nuAjRhvdF7sxPpz35tu2,5.0,,095269 84552,"11/381, near Games Village, Menamkulam, Thiruvananthapuram, Menamkulam, Kerala 695582"
BIOTECH INDIA,Environment renewable natural resources,/url?q=http://biotech-india.org/&opi=79508299&sa=U&ved=0ahUKEwiIiaj5ib2UAxVhTmwGHSNaN3YQ61gIFygS&usg=AOvVaw2r7Vr_PNi3eppIyTLXRqi5,4.5,,0471 233 2179,"Biotech tower, TC 15/1504, MP Appan Rd, DPI, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Smart India Food Tech,Food machinery supplier,/url?q=http://www.smartindiaenterprises.com/&opi=79508299&sa=U&ved=0ahUKEwj6_8H6ib2UAxXTSWwGHRnVLOAQ61gIESgM&usg=AOvVaw01mRx7rf237YGtrM4GZzFr,5.0,,097460 48246,"Vellayani, Thiruvananthapuram, Kerala 695020"
Royal Mirra Mills,Food Processing Company,/url?q=https://mirrafresh.com/&opi=79508299&sa=U&ved=0ahUKEwiN45usir2UAxVYSGwGHVbsMV8Q61gIFSgQ&usg=AOvVaw2rmaHOvACfUpB477zAvP3j,5.0,,073569 15151,"SH 1, Pattom P.O, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Ente Mill Store,Organic food store,/url?q=https://www.instagram.com/entemill%3Figsh%3DZW0wZWRhcDNrM2N5&opi=79508299&sa=U&ved=0ahUKEwiZne6tir2UAxW5bmwGHQRLGiUQ61gIFSgQ&usg=AOvVaw36bq27KDgAb9lc8WjL9nre,4.8,,079070 75131,"Kattu Rd, Kesari Nagar, Poojapura, Thiruvananthapuram, Kerala 695012"
Surplus Factory,Clothing store,,4.4,,090206 78999,"Pananvila jn, opp. steel city, Mayuram, Nalanchira, Paruthippara, Thiruvananthapuram, Kerala 695015"
"Fabindia Experience Center, Kowdiar, Thiruvananthapuram",Clothing store,/url?q=http://www.fabindia.com/&opi=79508299&sa=U&ved=0ahUKEwi00bfAir2UAxXlaHADHdFSNeIQ61gIFygS&usg=AOvVaw3PfaotZMIT3WstUs_8dtXb,4.2,,087148 25666,"Kuravankonam Road, opposite Azad Bread Factory, Pandits Colony Extension, Kowdiar, Thiruvananthapuram, Kerala 695003"
Asian Food Products,Food products supplier,,3.3,,0471 241 8529,"HV6X+FJX, Pangappara, Thiruvananthapuram, Kerala 695581"
