business_name,category,website,google_rating,review_count,phone,address
Cafe Jade - All Day Dining (24X7),Coffee shop,/url?q=http://www.hycinthhotels.com/&opi=79508299&sa=U&ved=0ahUKEwiJ1bLw67yUAxWJRWwGHasvFXwQ61gIHSgS&usg=AOvVaw2FREW7v4jVAUd78myyUhKo,4.6,,0471 255 2999,"Manorama Office, Hycinth Hotels, Manorama Rd, near Malayala Manorama, Thampanoor, Thiruvananthapuram, Kerala 695001"
Villa Maya,Fine dining restaurant,/url?q=http://www.villamaya.in/&opi=79508299&sa=U&ved=0ahUKEwiq79Tx67yUAxWuyDgGHbUQKLUQ61gIGCgS&usg=AOvVaw39NJoOO2rWUCcByVo1-9cO,4.5,,0471 257 8901,"MUTHOOT SKY CHEF, No-120 Palayam Airport Road Near, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Paragon Restaurant,Asian restaurant,/url?q=https://paragonrestaurant.in/&opi=79508299&sa=U&ved=0ahUKEwiOuprz67yUAxW7yDgGHTY8FTQQ61gIHSgS&usg=AOvVaw3YyTWQLcIoPzKZW0drTa3E,4.2,,089439 97755,"TC 2, South Indian Bank, 5,OPPO, 44, Ulloor Brg, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Aryaas Park Veg Restaurant,South Indian restaurant,,4.0,,090728 63449,"FXQ2+634, Theatre Station Road, near Apollo Dimora & Sreekumar, Overbridge, Thampanoor, Thiruvananthapuram, Kerala 695001"
O Café,Buffet restaurant,/url?q=https://www.obytamara.com/hotel-trivandrum/restaurants/o-cafe.html&opi=79508299&sa=U&ved=0ahUKEwiUsomA7LyUAxUo4jgGHXInNXMQ61gIFCgO&usg=AOvVaw0oWW6MxV7PsPgT3tWJVHG1,4.5,,080 6555 1111,"Oruvathilkotta, Aakkulam, Thiruvananthapuram, Kerala 695029"
Restaurant Chef Pillai Trivandrum,Indian restaurant,/url?q=http://chefpillai.com/&opi=79508299&sa=U&ved=0ahUKEwjJ4bqB7LyUAxXA-TgGHfZiGQQQ61gIFygS&usg=AOvVaw0EPE7Q6Bmb-OM5IkO9mbWa,4.5,,090729 39090,"Panachamoottil square, near Bypass Road, Enchakkal, Vallakkadavu, Thiruvananthapuram, Kerala 695008"
Mothers Veg Plaza,Vegetarian restaurant,/url?q=https://mothersvegplaza.in/&opi=79508299&sa=U&ved=0ahUKEwiogt2C7LyUAxVv4jgGHS0YF8EQ61gIGygS&usg=AOvVaw3u90VhGNGBdI9w3FPXeR-C,4.1,,0471 401 2255,"Bakery Jct Rd, near Russian Cultural Center, Vanross, Palayam, Thiruvananthapuram, Kerala 695001"
Imperial Kitchen Venpalavattom,Eclectic restaurant,/url?q=http://www.imperial-kitchen.in/&opi=79508299&sa=U&ved=0ahUKEwinlsCI7LyUAxWNxjgGHddyBzsQ61gIFigR&usg=AOvVaw1iMMvu2JDUB7wMrz7LglRv,4.4,,077361 61222,"GW63+4VM Favourite Homes, Ground Floor, Grand Avenue, Pettah - Venpalavattom Rd, Venpalavattom, Thiruvananthapuram, Kerala 695029"
PLAV,South Indian restaurant,,4.1,,094965 02958,"TC 28 304, Pound Road , Thycaud Police Parade Ground, Rd, Thiruvananthapuram, Kerala 695014"
Ruchi Veg Restaurant,Vegetarian restaurant,/url?q=https://www.ruchifoods.org/&opi=79508299&sa=U&ved=0ahUKEwiO-amY7LyUAxV_6jgGHRLTOfMQ61gIFygO&usg=AOvVaw1udA_XWCbMHJ7Pmtvo0jD6,4.2,,085907 09059,"Aroma building, Thiruvananthapuram, Kerala 695001"
Zam Zam Restaurant,Arab restaurant,/url?q=http://www.zamzamrestaurants.com/&opi=79508299&sa=U&ved=0ahUKEwjw8sGZ7LyUAxWq1TgGHXxPBOUQ61gIGygQ&usg=AOvVaw0dfRn9IJ7gsBIno-Lq9VFs,4.1,,098099 98080,"opp. MLA Hostel, University of Kerala Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695034"
