business_name,category,website,google_rating,review_count,phone,address
Ramachandran Textiles,Clothing store,/url?q=http://www.ramachandrantextiles.com/pazhavangadi/&opi=79508299&sa=U&ved=0ahUKEwjxmLiS8byUAxVv9zgGHWIDNKkQ61gIFSgQ&usg=AOvVaw0E1rwIJdZL8DWMcj3InKrl,4.0,,088930 99999,"Pazhavangadi St, East Fort, Padma Nagar, Pazhavangadi, Thiruvananthapuram, Kerala 695023"
Fashion Factory,Clothing store,/url?q=https://location.reliancefashionfactorystores.com/fashion-factory-ff-trivendrum-heena-clothing-stores-kowdiar-thiruvananthapuram-286945/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwi0u9GT8byUAxU1zjgGHezyBvcQ61gIFygS&usg=AOvVaw0fQ4bpTej3xlPIWvUQHd2d,4.0,,1800 891 0001,"Heera Highlife Mall, Keston Rd, Kanaka Nagar, Kowdiar, Thiruvananthapuram, Kerala 695003"
Style PLUS,Department store,/url?q=https://www.styleplus.co.in/index.php&opi=79508299&sa=U&ved=0ahUKEwiE4aeW8byUAxWFumMGHcIOIBMQ61gIFygS&usg=AOvVaw16kRJPPD-SBrjPY9GRgMIN,4.2,,094951 10400,"Keston road, Near, Devaswom Board Jct, Kowdiar, Thiruvananthapuram, Kerala 695003"
Reliance SMART Bazaar,Hypermarket,/url?q=https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-pazhavangadi-thiruvananthapuram-303348/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjqw_KU8byUAxWBzTgGHSoNN7gQ61gIFygS&usg=AOvVaw2Jhfn9nBxeOqjfulS_87vy,3.5,,1800 891 0001,"Ravi Arcade, Malabar Castle, Mahatma Gandhi Rd, opposite Malabar Gold, Pazhavangadi, Chalai Bazaar, Chalai, Thiruvananthapuram, Kerala 695036"
LuLu Fashion Store,Clothing store,/url?q=https://thiruvananthapuram.lulumall.in/shop/lulu-fashion-store/&opi=79508299&sa=U&ved=0ahUKEwikuL-k8byUAxXo3jgGHeqGHocQ61gIFSgQ&usg=AOvVaw3lEcQy8r5-aqpe5WV7g_e8,3.4,,0471 277 7788,"First Floor, LuLu Mall, Kochuveli, Thiruvananthapuram, Kerala 695029"
Variety Mall,Jewelry store,/url?q=http://www.varietymall.in/&opi=79508299&sa=U&ved=0ahUKEwjr24Wo8byUAxVs3jgGHaUCDx0Q61gIFSgQ&usg=AOvVaw2HhbWyzqj6TcLCTajPkB2g,4.1,,0471 247 6896,"General Hospital Rd, Palayam, Thiruvananthapuram, Kerala 695001"
Mall of Travancore,Shopping mall,/url?q=http://www.malloftravancore.com/&opi=79508299&sa=U&ved=0ahUKEwiN3p2v8byUAxVjzjgGHSJzOLoQ61gIFygS&usg=AOvVaw0Q_zrqjDoIpEwVd5hV6vUV,4.3,,0471 424 9916,"Int'l Airport Rd, near Ananthapuri Hospital, Eanchakkal, Thiruvananthapuram, Kerala 695024"
EasyBuy,Clothing store,/url?q=https://www.easybuyindia.com/%3Futm_source%3Dstore_locator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjRgrqw8byUAxVGwTgGHXDeIj0Q61gIFygS&usg=AOvVaw0Jh6T-CiuPn0CF8zA4kON1,4.9,,1800 202 4454,"Rd Malabar Commercial Plaza, 2nd Flr, Mall of Travancore, near International Airport Road, Chacka, Thiruvananthapuram, Kerala 695024"
"Bean Town, The Pop-Up Store, Trivandrum",Outlet mall,/url?q=https://www.beantown.in/&opi=79508299&sa=U&ved=0ahUKEwjE-eCx8byUAxVBzjgGHRhpDOsQ61gIFygS&usg=AOvVaw1g3QH-L9-As1OMA71ykpVg,5.0,,062383 57355,"Junction, next to Ramraj, Pattom, Thiruvananthapuram, Kerala 695004"
LuLu Hypermarket Thiruvananthapuram,Hypermarket,/url?q=https://thiruvananthapuram.lulumall.in/shop/lulu-hypermarket/&opi=79508299&sa=U&ved=0ahUKEwiPsZLC8byUAxV93TgGHcwREv8Q61gIFygS&usg=AOvVaw11YB3etKQf8nlwLztZR2tQ,4.5,,0471 277 7777,"Unit No. l 02, LuLu Mall, Anayara, Thiruvananthapuram, Kerala 695029"
City Stores,Supermarket,,4.3,,,"Panjapura Junction, Nandavanam, Palayam, Thiruvananthapuram, Kerala 695033"
Babu Store Wholesale and Retail,Grocery store,,3.8,,0471 245 7922,"28, Ganga Nagar, Attakulangara, Thiruvananthapuram, Kerala 695009"
RETAIL.ROAD EXPORT SURPLUS,Outlet store,,4.2,,099950 81048,"Andlee tower, opposite Asiatic Business Center, near axis bank, Kulathoor, Kazhakkoottam, Thiruvananthapuram, Kerala 695581"
Max,Shopping mall,/url?q=https://stores.maxfashion.in/max-pulimoodu-shopping-centre-pulimoodu-thiruvananthapuram-281900/Home%3Futm_source%3Dlocator%26utm_medium%3Dgoogleplaces&opi=79508299&sa=U&ved=0ahUKEwjsworL8byUAxUUV3ADHdfwIgYQ61gIFygS&usg=AOvVaw0_Ldhc-q217OCB9lyKh5-k,4.1,,086063 85656,"1st Floor, Qrs Square, 25, Mahatma Gandhi Rd, Puthenchanthai, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Basics Life. Trivandrum,Men's clothing store,,4.9,,0471 401 8484,"Kesari Memorial Building, JN, Mahatma Gandhi Rd, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Kerala 695001"
Vibe Company,Clothing store,,3.7,,,"2nd Floor Kedaram Complex Shop No 39, Kesavadasapuram Rd, Thiruvananthapuram, Kerala 695004"
LuLu Mall Thiruvananthapuram,Shopping mall,/url?q=https://thiruvananthapuram.lulumall.in/&opi=79508299&sa=U&ved=0ahUKEwjTxd6V8ryUAxU_RmwGHZgFEqsQ61gIFygS&usg=AOvVaw2nIfCuWrk2w68ODCDZBSGD,4.6,,0471 277 7777,"Lulu International Shopping Mall Pvt. Ltd TC 91/270, Akkulam Bridge, Anayara Post, Thiruvananthapuram, Kerala 695029"
Family Shopping Centre,Grocery store,,3.8,,098957 58262,"G.P.O, Commercial Complex, Ambujavilasam Rd, near Bana Sahib, Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695035"
