business_name,category,website,google_rating,review_count,phone,address
AM Customer Service Point,Government office,,5.0,,097464 43143,"Vanchiyoor, Vanjiyoor, Thiruvananthapuram, Kerala 695035"
SEWA Kerala,Non-governmental organization,,3.4,,0471 247 0167,"Kunnumpuram, Vanchiyoor, Thiruvananthapuram, Kerala 695035"
Capital house keeping service,House cleaning service,/url?q=http://capitalhousekeeping.in/&opi=79508299&sa=U&ved=0ahUKEwjxxuHR_LyUAxWWTGwGHW8xCc4Q61gIFygS&usg=AOvVaw0vuymsiGLWxMjXoFbKOxls,4.9,,096334 14558,"GNRA 15 ,CIT road,melarannoor,karamana po GNRA 15 CIT road, po, Melarannoor, Karamana, Thiruvananthapuram, Kerala 695002"
"Apple Authorized Service Centre - F1 Info Services, Trivandrum",Mobile phone repair shop,/url?q=https://f1infoservices.com/&opi=79508299&sa=U&ved=0ahUKEwjSy9nW_LyUAxVrS2wGHRVBGUYQ61gIFygS&usg=AOvVaw1EUNGqRo_r3lBR_ZUH0gNv,4.0,,085900 37219,"1st Floor, Grace Building, Vikas Bhavan, Near Kerala Finacial Corporation, P.O, Kanaka Nagar, Vellayambalam, Thiruvananthapuram, Kerala 695033"
No service,,,5.0,,,"A/26, Pillaveedu Nagar, Aiswarya Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Clean & Clean Hygiene Services,House cleaning service,,4.2,,095260 08066,"Killipalam, Karamana, KKGRA29, KKGRA29, Killipalam, Karamana, Thiruvananthapuram, Kerala 695002"
"Trinity Solutions- Sony Authorized Service Center, Trivandrum",Electronics repair shop,/url?q=http://trinitytvm.in/&opi=79508299&sa=U&ved=0ahUKEwi8q8Pa_LyUAxVre2wGHf4DNtUQ61gIFygS&usg=AOvVaw1Y3Gsm-GixI0qrFaxBTGQg,3.4,,0471 401 7117,"TC-3/121-10, opp. M.G. COLLEGE, KESAVADASAPURAM, Pattom, Thiruvananthapuram, Kerala 695004"
KERALA UNIVERSITY TRANSCRIPT/ATTESTATION SERVICES/ABS TRANSCRIPT/ABSEDUCATIONSERVICE,Transcription service,/url?q=https://www.abseducationservice.com/&opi=79508299&sa=U&ved=0ahUKEwjxja7l_LyUAxU0e2wGHeeQCxkQ61gIFigR&usg=AOvVaw2MeVSwTi07KQkiKBJqIPwm,5.0,,085476 31770,"GW2W+JFJ, opp. hassan marikkar hall, University of Kerala Senate House Campus, Kunnukuzhy, Thiruvananthapuram, Kerala 695035"
My Secretary Services,Professional organizer,/url?q=https://www.mysecretary.services/&opi=79508299&sa=U&ved=0ahUKEwiIwcHB_LyUAxWmslYBHS6ZJyMQ61gIwAEoDw&usg=AOvVaw3RBpYBV97kvSN5OoVb5CUh,5.0,,092070 10500,"TC1/711(3, SRA 107, Thiruvananthapuram, Kerala 695582"
AV SERVICES,Corporate office,,5.0,,097429 95903,"ARA-111, Paravankunnu, Thiruvananthapuram, Kerala 695026"
Service Expert,Corporate office,,3.0,,093887 25522,"FXF8+WG2, Thaliyal, Thiruvananthapuram, Kerala 695002"
Home Nursing and House Maid Service Trivandrum,Home help,/url?q=http://bit.ly/3GkChbS&opi=79508299&sa=U&ved=0ahUKEwiIwcHB_LyUAxWmslYBHS6ZJyMQ61gI0AMoCQ&usg=AOvVaw0qGK0qPbjL5uQJ_lIxh-l0,2.3,,,"Kaimanam, Pappanamcode, Thiruvananthapuram, Kerala 695018"
The Kerala Service Company Ltd,Office supply store,,5.0,,,"FXX2+W4W, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
Total Care Security,Security guard service,/url?q=https://www.totalcaresecurity.in/&opi=79508299&sa=U&ved=0ahUKEwjOguaU_byUAxWscmwGHTXALHUQ61gIFygS&usg=AOvVaw02_jXEOEgM45D_pXC2VTZV,4.5,,0471 485 1264,"TC 11/1649, 2nd Floor, Charachira Road, Pattom P.O, Thiruvananthapuram, Kerala 695003"
Mr. Handyman,Cleaning Services,/url?q=http://www.mrhandyman.co.in/&opi=79508299&sa=U&ved=0ahUKEwj5p5GW_byUAxVJaHADHU-NLe8Q61gIFygS&usg=AOvVaw1_zS-_1Fuqh_tgfgJN-RuF,4.6,,090488 88964,"TC 14/1561, near Valsala Nursing Home Hospital, Bakery Junction, Vazhuthacaud, Thiruvananthapuram, Kerala 695014"
Lenovo Service Center - CTDI Globle Infocom,Computer service,,4.3,,080 4824 7457,"Mahadavadeepam Building, near Optical World, NSP Nagar, Kesavadasapuram, Thiruvananthapuram, Kerala 695004"
Sameway Maintenance Solutions,Real Estate Builders & Construction Company,/url?q=http://www.samewaygroup.in/&opi=79508299&sa=U&ved=0ahUKEwiduNWY_byUAxWhbGwGHe1uMwIQ61gIFSgQ&usg=AOvVaw0knBrbdbybVOePvqYg8NzC,4.9,,080897 92530,"CRRA-124, Chirakulam Road, Statue, Palayam, Thiruvananthapuram, Kerala 695001"
Philips Engineering Services,Engineering consultant,,3.3,,,"TC 13, Sooryaprabha Convention Centre, 03rd Floor, 330, SH 1, Mannanthala, Thiruvananthapuram, Kerala 695015"
Service Consultants,Consultant,,4.8,,094464 93965,"URR 8A, Uppalam Rd, Statue, Rohini, Thiruvananthapuram, Kerala 695001"
Vinayaka Services,Chauffeur service,,3.4,,,"FX7C+GVP, Kaimanam Thiruvallam Rd, Krishna Nagar, Snehapuri, Thiruvananthapuram, Kerala 695002"
Grace Care Solution,Home health care service,,4.8,,079078 84261,"Anthiyoorkonam, Kerala 695571"
